,0
366,flour
367,sugar
368,chocolate
369,cocoa
370,cocoapowder
371,salt
372,butter
373,milk
374,bakingpowder
375,vanilla
376,cream
377,cheese
378,creamcheese
379,buttermilk
380,mustard
381,turmeric
382,asafoetida
383,sunflower
384,lemon
385,sunfloweroil
386,salt
387,lemonjuice
388,chicken
389,yogurt
390,turmeric
391,salt
392,sunflower
393,sunfloweroil
394,onion
395,clove
396,garlic
397,ginger
398,coconut
399,cumin
400,coriander
401,fenugreek
402,nigellaseed
403,corn
404,pepper
405,fennel
406,cinnamon
407,cardamom
408,mustard
409,ghee
410,tamarind
411,emu
412,jackfruit
413,tamarind
414,water
415,clove
416,garlic
417,mustard
418,cumin
419,turmeric
420,sambarpowder
421,asafoetida
422,coriander
423,salt
424,sunflower
425,sunfloweroil
426,coconut
427,corn
428,pepper
429,onion
430,tomato
431,egg
432,eggplant
433,ginger
434,onion
435,tomato
436,turmeric
437,garammasala
438,coriander
439,butter
440,salt
441,jackfruit
442,peas
443,chickpea
444,mustard
445,cumin
446,tomato
447,tamarind
448,water
449,turmeric
450,coriander
451,clove
452,cinnamon
453,coconut
454,ginger
455,wheat
456,flour
457,salt
458,cheese
459,spread
460,broccoli
461,onion
462,pepper
463,capsicum
464,parsley
465,corn
466,flour
467,fenugreek
468,caromseed
469,salt
470,carrot
471,cabbage
472,pepper
473,capsicum
474,turmeric
475,sugar
476,lemon
477,salt
478,lemonjuice
479,sunflower
480,sunfloweroil
481,mustard
482,asafoetida
483,flour
484,wheat
485,yeast
486,salt
487,sugar
488,water
489,olive
490,tomato
491,tamarind
492,turmeric
493,mustard
494,fenugreek
495,clove
496,garlic
497,sunflower
498,salt
499,sunfloweroil
500,rice
501,brownrice
502,onion
503,garlic
504,oregano
505,rose
506,rosemary
507,salt
508,water
509,wheat
510,salt
511,flour
512,water
513,stew
514,ghee
515,fenugreek
516,tamarind
517,mustard
518,sunflower
519,salt
520,sunfloweroil
521,wheat
522,salt
523,sunflower
524,sunfloweroil
525,flour
526,onion
527,coriander
528,turmeric
529,cumin
530,caromseed
531,water
532,wheat
533,salt
534,flour
535,ghee
536,paneer
537,cheese
538,cottagecheese
539,yogurt
540,ginger
541,clove
542,garlic
543,fenugreek
544,turmeric
545,chaatmasala
546,garammasala
547,mint
548,pepper
549,capsicum
550,onion
551,lemon
552,lemonjuice
553,olive
554,butter
555,salt
556,onion
557,jasmine
558,rice
559,corn
560,sweetcorn
561,parsley
562,cheese
563,parmesancheese
564,mozzarellacheese
565,flour
566,egg
567,wheat
568,bread
569,sunflower
570,sunfloweroil
571,wholewheatbread
572,fish
573,prawn
574,clam
575,potato
576,carrot
577,onion
578,tomato
579,clove
580,garlic
581,cumin
582,salt
583,lemon
584,lemonjuice
585,pepper
586,coriander
587,olive
588,chicken
589,coconut
590,water
591,salt
592,sunflower
593,sunfloweroil
594,onion
595,pepper
596,capsicum
597,clove
598,garlic
599,vinegar
600,tomato
601,ketchup
602,paneer
603,cheese
604,cottagecheese
605,potato
606,tomato
607,turmeric
608,cumin
609,ginger
610,salt
611,sunflower
612,sugar
613,sunfloweroil
614,broccoli
615,cheese
616,mozzarellacheese
617,garlic
618,corn
619,flour
620,wheat
621,bread
622,salt
623,oregano
624,spread
625,wholewheatbread
626,radish
627,potato
628,onion
629,mustard
630,turmeric
631,cumin
632,nigellaseed
633,mustardoil
634,salt
635,sugar
636,tamarind
637,water
638,sambarpowder
639,mustard
640,asafoetida
641,sesame
642,coriander
643,salt
644,wheat
645,flour
646,spinach
647,pumpkin
648,turmeric
649,coriander
650,cumin
651,salt
652,water
653,sunflower
654,sunfloweroil
655,egg
656,onion
657,salt
658,sunflower
659,sunfloweroil
660,coriander
661,coconut
662,sesame
663,poppyseed
664,ginger
665,clove
666,garlic
667,flour
668,coconut
669,milk
670,coconutmilk
671,water
672,ginger
673,clove
674,garlic
675,caromseed
676,asafoetida
677,turmeric
678,onion
679,tomato
680,coriander
681,salt
682,sunflower
683,sunfloweroil
684,rice
685,flour
686,water
687,sunflower
688,sunfloweroil
689,salt
690,ginger
691,asafoetida
692,sesame
693,mustard
694,chicken
695,onion
696,garlic
697,lemon
698,lemonjuice
699,pepper
700,cumin
701,tomato
702,salt
703,sunflower
704,sunfloweroil
705,rice
706,ginger
707,capsicum
708,carrot
709,whitepepper
710,egg
711,ketchup
712,rice
713,ghee
714,cumin
715,lentils
716,sugar
717,ginger
718,garlic
719,onion
720,tomato
721,capsicum
722,rye
723,turmeric
724,coriander
725,garammasala
726,tofu
727,salt
728,gingergarlicpaste
729,paneer
730,cheese
731,cottagecheese
732,potato
733,onion
734,ginger
735,clove
736,garlic
737,pepper
738,capsicum
739,tomato
740,salt
741,coriander
742,bread
743,rye
744,ryebread
745,salad
746,tomato
747,onion
748,oregano
749,clove
750,garlic
751,pepper
752,mustard
753,sugar
754,olive
755,salt
756,onion
757,clove
758,garlic
759,coconut
760,coriander
761,cumin
762,turmeric
763,garammasala
764,salt
765,flour
766,radish
767,water
768,garammasala
769,salt
770,pepper
771,coriander
772,mango
773,bakingpowder
774,sunflower
775,sunfloweroil
776,sugar
777,salt
778,vanilla
779,chocolate
780,cream
781,cocoa
782,cocoapowder
783,flour
784,sunflower
785,sunfloweroil
786,caromseed
787,salt
788,peas
789,paneer
790,cheese
791,cottagecheese
792,coriander
793,mango
794,turmeric
795,pepper
796,onion
797,tomato
798,tomatopuree
799,ginger
800,garlic
801,stew
802,yogurt
803,clove
804,mace
805,cardamom
806,cinnamon
807,cumin
808,garammasala
809,fenugreek
810,sugar
811,cream
812,drymangopowder
813,gingergarlicpaste
814,agar
815,greenzucchini
816,zucchini
817,salt
818,olive
819,cheese
820,mozzarellacheese
821,pepper
822,capsicum
823,onion
824,clove
825,garlic
826,thyme
827,rose
828,rosemary
829,tomato
830,corn
831,sugar
832,basil
833,coconut
834,rice
835,mustard
836,peanut
837,ginger
838,salt
839,coconutoil
840,emu
841,hogplum
842,plum
843,coconut
844,turmeric
845,coriander
846,rice
847,fenugreek
848,corn
849,pepper
850,asafoetida
851,bittergourd
852,salt
853,sunflower
854,sunfloweroil
855,mustard
856,cauliflower
857,garlic
858,cumin
859,coriander
860,pepper
861,olive
862,pomegranate
863,molasses
864,honey
865,basil
866,salt
867,water
868,yeast
869,sugar
870,milk
871,milkpowder
872,bread
873,flour
874,salt
875,butter
876,egg
877,rice
878,basmatirice
879,pepper
880,capsicum
881,ginger
882,butter
883,sesame
884,salt
885,rice
886,flour
887,milk
888,sugar
889,cardamom
890,mixednuts
891,almond
892,raisin
893,saffron
894,salmon
895,rice
896,salt
897,flour
898,sunflower
899,sunfloweroil
900,carrot
901,cabbage
902,mushroom
903,corn
904,sugar
905,yogurt
906,coconut
907,ashgourd
908,pumpkin
909,pepper
910,water
911,turmeric
912,salt
913,coconutoil
914,mustard
915,fenugreek
916,peas
917,cheese
918,ginger
919,turmeric
920,mango
921,coriander
922,salt
923,wheat
924,flour
925,water
926,stew
927,yam
928,ginger
929,coriander
930,salt
931,rye
932,rice
933,corn
934,capsicum
935,basil
936,onion
937,clove
938,garlic
939,ginger
940,sugar
941,honey
942,fish
943,shrimp
944,prawn
945,rice
946,basmatirice
947,shallot
948,ginger
949,garlic
950,coconut
951,yogurt
952,sunflower
953,sunfloweroil
954,ghee
955,coriander
956,turmeric
957,garammasala
958,corn
959,pepper
960,cardamom
961,cinnamon
962,cumin
963,walnut
964,fig
965,flaxseed
966,honey
967,peanut
968,cinnamon
969,chicken
970,ginger
971,garlic
972,cream
973,almond
974,lemon
975,lemonjuice
976,pepper
977,salt
978,onion
979,milk
980,cardamom
981,cinnamon
982,fenugreek
983,semolina
984,ghee
985,milk
986,sugar
987,saffron
988,cardamom
989,cashewnut
990,raisin
991,chicken
992,pepper
993,capsicum
994,onion
995,lemon
996,lemonjuice
997,thyme
998,olive
999,salt
1000,rice
1001,water
1002,ghee
1003,cardamom
1004,anise
1005,staranise
1006,cinnamon
1007,pepper
1008,salt
1009,onion
1010,coriander
1011,mint
1012,cheese
1013,cottagecheese
1014,tomato
1015,cream
1016,ginger
1017,clove
1018,garlic
1019,cumin
1020,garammasala
1021,honey
1022,tea
1023,ghee
1024,wheat
1025,flour
1026,sugar
1027,coconut
1028,almond
1029,cashewnut
1030,coconut
1031,milk
1032,coconutmilk
1033,water
1034,lentils
1035,mustard
1036,turmeric
1037,cumin
1038,salt
1039,coriander
1040,carrot
1041,corn
1042,sweetcorn
1043,wheat
1044,flour
1045,onion
1046,spread
1047,coriander
1048,yogurt
1049,egg
1050,bakingpowder
1051,butter
1052,salt
1053,pepper
1054,egg
1055,sunflower
1056,sunfloweroil
1057,ginger
1058,clove
1059,garlic
1060,corn
1061,pepper
1062,salt
1063,coconut
1064,rice
1065,flour
1066,semolina
1067,milk
1068,mustard
1069,fenugreek
1070,asafoetida
1071,pear
1072,onion
1073,tamarind
1074,water
1075,sambarpowder
1076,turmeric
1077,salt
1078,rice
1079,basmatirice
1080,cinnamon
1081,clove
1082,cardamom
1083,milk
1084,water
1085,saffron
1086,cumin
1087,sunflower
1088,salt
1089,sunfloweroil
1090,pomegranate
1091,cashewnut
1092,almond
1093,raisin
1094,dates
1095,ghee
1096,tea
1097,mushroom
1098,peas
1099,sunflower
1100,sunfloweroil
1101,cumin
1102,mustard
1103,asafoetida
1104,onion
1105,tomato
1106,ginger
1107,garlic
1108,turmeric
1109,coriander
1110,garammasala
1111,water
1112,tomatopaste
1113,gingergarlicpaste
1114,agar
1115,coriander
1116,ginger
1117,salt
1118,lemon
1119,peas
1120,chickpea
1121,ghee
1122,onion
1123,clove
1124,garlic
1125,cinnamon
1126,cardamom
1127,garammasala
1128,lemonjuice
1129,mustard
1130,capsicum
1131,onion
1132,salt
1133,peanut
1134,coconut
1135,clove
1136,garlic
1137,cumin
1138,coriander
1139,banana
1140,turmeric
1141,salt
1142,cumin
1143,coconut
1144,pepper
1145,clove
1146,garlic
1147,potato
1148,cheese
1149,mozzarellacheese
1150,mustard
1151,ginger
1152,onion
1153,asafoetida
1154,turmeric
1155,coriander
1156,sunflower
1157,sunfloweroil
1158,flour
1159,salt
1160,paneer
1161,cheese
1162,cottagecheese
1163,clove
1164,garlic
1165,ginger
1166,pepper
1167,capsicum
1168,cumin
1169,coriander
1170,garammasala
1171,yogurt
1172,butter
1173,onion
1174,tomato
1175,tomatopuree
1176,almond
1177,cream
1178,lemon
1179,lemonjuice
1180,turmeric
1181,wheat
1182,flour
1183,spinach
1184,water
1185,potato
1186,paneer
1187,cheese
1188,cottagecheese
1189,coriander
1190,garammasala
1191,salt
1192,cumin
1193,mixednuts
1194,ghee
1195,raisin
1196,taco
1197,chicken
1198,salad
1199,beans
1200,garlic
1201,tomato
1202,rice
1203,basmatirice
1204,water
1205,cinnamon
1206,mushroom
1207,onion
1208,ginger
1209,yogurt
1210,clove
1211,garlic
1212,turmeric
1213,garammasala
1214,mint
1215,salt
1216,ghee
1217,caromseed
1218,anise
1219,staranise
1220,cardamom
1221,carrot
1222,potato
1223,cauliflower
1224,onion
1225,ginger
1226,garlic
1227,salt
1228,sunflower
1229,sunfloweroil
1230,coconut
1231,corn
1232,pepper
1233,fennel
1234,poppyseed
1235,cashewnut
1236,cinnamon
1237,anise
1238,staranise
1239,clove
1240,cardamom
1241,cumin
1242,gingergarlicpaste
1243,cabbage
1244,mustard
1245,coconut
1246,salt
1247,egg
1248,eggplant
1249,tomato
1250,onion
1251,ginger
1252,garlic
1253,tamarind
1254,water
1255,mustard
1256,corn
1257,pepper
1258,turmeric
1259,sunflower
1260,salt
1261,sunfloweroil
1262,coriander
1263,gingergarlicpaste
1264,lettuce
1265,chicken
1266,sunflower
1267,salt
1268,sunfloweroil
1269,pepper
1270,garlic
1271,mushroom
1272,onion
1273,vinegar
1274,tomato
1275,lemon
1276,lemonjuice
1277,yogurt
1278,sugar
1279,cream
1280,turmeric
1281,vanilla
1282,orange
1283,wheat
1284,bread
1285,paneer
1286,cheese
1287,cottagecheese
1288,pepper
1289,capsicum
1290,chaatmasala
1291,butter
1292,salt
1293,yam
1294,onion
1295,ginger
1296,garlic
1297,cumin
1298,turmeric
1299,coriander
1300,pepper
1301,garammasala
1302,salt
1303,sunflower
1304,coconut
1305,coconutoil
1306,garlic
1307,ginger
1308,onion
1309,tomato
1310,turmeric
1311,garammasala
1312,coriander
1313,chicken
1314,salt
1315,bottlegourd
1316,onion
1317,clove
1318,garlic
1319,ginger
1320,cumin
1321,mustard
1322,fenugreek
1323,turmeric
1324,coriander
1325,tamarind
1326,water
1327,tomato
1328,sunflower
1329,sunfloweroil
1330,salt
1331,peanut
1332,sesame
1333,coconut
1334,water
1335,turmeric
1336,ginger
1337,tamarind
1338,lemon
1339,lemonjuice
1340,ghee
1341,mustard
1342,asafoetida
1343,coriander
1344,emu
1345,chicken
1346,coriander
1347,cumin
1348,pepper
1349,turmeric
1350,ginger
1351,garlic
1352,olive
1353,salt
1354,wheat
1355,flour
1356,yeast
1357,milk
1358,sugar
1359,cucumber
1360,carrot
1361,tomato
1362,vinegar
1363,hummus
1364,onion
1365,gingergarlicpaste
1366,stew
1367,wheat
1368,flour
1369,sunflower
1370,salt
1371,sunfloweroil
1372,ghee
1373,mushroom
1374,onion
1375,cumin
1376,garammasala
1377,turmeric
1378,agar
1379,water
1380,spinach
1381,turmeric
1382,salt
1383,ghee
1384,asafoetida
1385,cumin
1386,ginger
1387,garlic
1388,onion
1389,tomato
1390,gingergarlicpaste
1391,cucumber
1392,carrot
1393,coconut
1394,lemon
1395,salt
1396,lemonjuice
1397,sunflower
1398,sunfloweroil
1399,mustard
1400,asafoetida
1401,coriander
1402,semolina
1403,yogurt
1404,saffron
1405,cardamom
1406,bakingpowder
1407,sugar
1408,cashewnut
1409,raisin
1410,flour
1411,millet
1412,onion
1413,carrot
1414,dill
1415,coriander
1416,cumin
1417,salt
1418,ghee
1419,sweetpotato
1420,potato
1421,onion
1422,turmeric
1423,rasampowder
1424,asafoetida
1425,salt
1426,sunflower
1427,sunfloweroil
1428,mustard
1429,biscuit
1430,vanilla
1431,icecream
1432,cream
1433,milk
1434,chocolate
1435,corn
1436,sweetcorn
1437,butter
1438,garlic
1439,lemon
1440,coriander
1441,cheese
1442,parmesancheese
1443,paneer
1444,cheese
1445,cottagecheese
1446,sunflower
1447,sunfloweroil
1448,peas
1449,salt
1450,sugar
1451,milk
1452,fenugreek
1453,onion
1454,tomato
1455,ginger
1456,clove
1457,garlic
1458,ghee
1459,butter
1460,cardamom
1461,cinnamon
1462,corn
1463,pepper
1464,coriander
1465,cashewnut
1466,egg
1467,eggplant
1468,yogurt
1469,cumin
1470,garammasala
1471,onion
1472,salt
1473,ghee
1474,coriander
1475,flour
1476,caromseed
1477,yogurt
1478,sunflower
1479,salt
1480,sunfloweroil
1481,pepper
1482,capsicum
1483,cumin
1484,asafoetida
1485,turmeric
1486,garammasala
1487,mango
1488,coriander
1489,drymangopowder
1490,chicken
1491,sunflower
1492,sunfloweroil
1493,garlic
1494,ginger
1495,onion
1496,pepper
1497,capsicum
1498,vinegar
1499,salt
1500,tomato
1501,pasta
1502,corn
1503,water
1504,flour
1505,amaranth
1506,tamarind
1507,water
1508,onion
1509,tomato
1510,clove
1511,garlic
1512,mustard
1513,asafoetida
1514,sambarpowder
1515,fenugreek
1516,sesame
1517,salt
1518,peanut
1519,flour
1520,rice
1521,coriander
1522,chaatmasala
1523,water
1524,pepper
1525,sunflower
1526,salt
1527,sunfloweroil
1528,beans
1529,kidneybeans
1530,tomato
1531,ginger
1532,ghee
1533,cumin
1534,coriander
1535,garammasala
1536,salt
1537,mushroom
1538,spinach
1539,tomato
1540,clove
1541,garlic
1542,ginger
1543,cumin
1544,cinnamon
1545,turmeric
1546,garammasala
1547,cream
1548,ghee
1549,salt
1550,tamarind
1551,coriander
1552,mint
1553,chaatmasala
1554,cumin
1555,onion
1556,carrot
1557,pomegranate
1558,peanut
1559,wheat
1560,grass
1561,pepper
1562,salt
1563,cumin
1564,lemon
1565,cumin
1566,ginger
1567,turmeric
1568,coriander
1569,salt
1570,potato
1571,cheese
1572,tomato
1573,ginger
1574,coriander
1575,cumin
1576,salt
1577,water
1578,pepper
1579,cumin
1580,mustard
1581,tamarind
1582,godamasala
1583,coriander
1584,salt
1585,wheat
1586,flour
1587,semolina
1588,yogurt
1589,turmeric
1590,salt
1591,sunflower
1592,sunfloweroil
1593,potato
1594,cumin
1595,onion
1596,clove
1597,garlic
1598,ginger
1599,coriander
1600,cabbage
1601,peas
1602,onion
1603,tomato
1604,ginger
1605,garlic
1606,turmeric
1607,garammasala
1608,salt
1609,coriander
1610,gingergarlicpaste
1611,paneer
1612,cheese
1613,cottagecheese
1614,asafoetida
1615,cinnamon
1616,cardamom
1617,caromseed
1618,tomato
1619,tomatopuree
1620,ginger
1621,yogurt
1622,fennel
1623,saffron
1624,garammasala
1625,salt
1626,coriander
1627,rice
1628,sunflower
1629,sunfloweroil
1630,onion
1631,tomato
1632,ginger
1633,garlic
1634,carrot
1635,peas
1636,tea
1637,pepper
1638,capsicum
1639,potato
1640,cardamom
1641,clove
1642,garammasala
1643,anise
1644,staranise
1645,cinnamon
1646,coriander
1647,mint
1648,salt
1649,gingergarlicpaste
1650,water
1651,carrot
1652,cucumber
1653,hops
1654,salt
1655,coriander
1656,cumin
1657,tea
1658,onion
1659,cumin
1660,clove
1661,garlic
1662,onion
1663,turmeric
1664,coconut
1665,milk
1666,coconutmilk
1667,mustard
1668,carrot
1669,beans
1670,greenbeans
1671,peas
1672,tea
1673,potato
1674,salt
1675,rice
1676,basmatirice
1677,coconut
1678,milk
1679,coconutmilk
1680,turmeric
1681,beans
1682,greenbeans
1683,cauliflower
1684,carrot
1685,clove
1686,garlic
1687,ginger
1688,cardamom
1689,cinnamon
1690,salt
1691,potato
1692,turmeric
1693,cardamom
1694,cinnamon
1695,tomato
1696,tomatopuree
1697,garammasala
1698,yogurt
1699,coriander
1700,sugar
1701,salt
1702,onion
1703,ginger
1704,clove
1705,garlic
1706,rice
1707,basmatirice
1708,salt
1709,water
1710,carrot
1711,beans
1712,greenbeans
1713,peas
1714,cauliflower
1715,pepper
1716,capsicum
1717,potato
1718,tomato
1719,onion
1720,ginger
1721,garlic
1722,sunflower
1723,sunfloweroil
1724,cinnamon
1725,cardamom
1726,clove
1727,cumin
1728,spinach
1729,coriander
1730,mint
1731,almond
1732,caromseed
1733,mace
1734,turmeric
1735,garammasala
1736,milk
1737,saffron
1738,ghee
1739,gingergarlicpaste
1740,agar
1741,milk
1742,sugar
1743,ghee
1744,cashewnut
1745,raisin
1746,salmon
1747,almond
1748,tamarind
1749,lemon
1750,sambarpowder
1751,turmeric
1752,horse
1753,mustard
1754,lentils
1755,asafoetida
1756,sesame
1757,salt
1758,rice
1759,carrot
1760,beans
1761,greenbeans
1762,ghee
1763,cumin
1764,asafoetida
1765,salt
1766,potato
1767,yogurt
1768,flour
1769,asafoetida
1770,cumin
1771,onion
1772,ginger
1773,garlic
1774,coriander
1775,turmeric
1776,salt
1777,sunflower
1778,sunfloweroil
1779,rice
1780,brownrice
1781,garlic
1782,carrot
1783,beans
1784,greenbeans
1785,pepper
1786,capsicum
1787,onion
1788,cabbage
1789,tomato
1790,pasta
1791,ginger
1792,salt
1793,vinegar
1794,olive
1795,flour
1796,cocoa
1797,cocoapowder
1798,bakingpowder
1799,salt
1800,butter
1801,sugar
1802,vanilla
1803,egg
1804,yogurt
1805,chocolate
1806,flaxseed
1807,milk
1808,semolina
1809,milkpowder
1810,flour
1811,sugar
1812,water
1813,cardamom
1814,pistachio
1815,ghee
1816,mustard
1817,asafoetida
1818,sunflower
1819,salt
1820,sunfloweroil
1821,coriander
1822,coriander
1823,corianderseed
1824,pepper
1825,celery
1826,cumin
1827,cardamom
1828,mace
1829,nutmeg
1830,cinnamon
1831,chicken
1832,sage
1833,sausage
1834,butter
1835,beans
1836,olive
1837,onion
1838,clove
1839,garlic
1840,tomato
1841,honey
1842,cumin
1843,oregano
1844,cayenne
1845,pepper
1846,salt
1847,broccoli
1848,thyme
1849,chicken
1850,ginger
1851,garlic
1852,coriander
1853,turmeric
1854,pepper
1855,egg
1856,flour
1857,corn
1858,salt
1859,sunflower
1860,sunfloweroil
1861,gingergarlicpaste
1862,flour
1863,wheat
1864,yogurt
1865,salt
1866,chicken
1867,spinach
1868,onion
1869,clove
1870,garlic
1871,tomato
1872,cumin
1873,coriander
1874,pepper
1875,mint
1876,cheese
1877,fetacheese
1878,prawn
1879,sesame
1880,clove
1881,garlic
1882,coriander
1883,corn
1884,pepper
1885,lemon
1886,lemonjuice
1887,sunflower
1888,salt
1889,sunfloweroil
1890,apple
1891,pineapple
1892,pine
1893,yogurt
1894,turmeric
1895,salt
1896,water
1897,stew
1898,coconut
1899,mustard
1900,pepper
1901,rice
1902,peas
1903,potato
1904,onion
1905,ginger
1906,garlic
1907,cardamom
1908,cinnamon
1909,clove
1910,cumin
1911,coriander
1912,pepper
1913,ghee
1914,salt
1915,gingergarlicpaste
1916,semolina
1917,yogurt
1918,onion
1919,pepper
1920,capsicum
1921,coriander
1922,salt
1923,sunflower
1924,sunfloweroil
1925,water
1926,fenugreek
1927,garlic
1928,clove
1929,shallot
1930,cumin
1931,turmeric
1932,vinegar
1933,potato
1934,salt
1935,sunflower
1936,sunfloweroil
1937,mustard
1938,potato
1939,fenugreek
1940,cumin
1941,fennel
1942,clove
1943,cinnamon
1944,ginger
1945,coconut
1946,poppyseed
1947,turmeric
1948,salt
1949,sugar
1950,mustard
1951,emu
1952,mustardoil
1953,potato
1954,lotus
1955,tomato
1956,tomatopuree
1957,cumin
1958,asafoetida
1959,coriander
1960,turmeric
1961,garammasala
1962,salt
1963,sunflower
1964,sunfloweroil
1965,onion
1966,garlic
1967,ginger
1968,wheat
1969,bread
1970,tomato
1971,cucumber
1972,salt
1973,pepper
1974,chaatmasala
1975,butter
1976,coriander
1977,mint
1978,oats
1979,wheat
1980,pine
1981,pumpkin
1982,dates
1983,raisin
1984,almond
1985,walnut
1986,cinnamon
1987,nutmeg
1988,vanilla
1989,sunflower
1990,sunfloweroil
1991,egg
1992,eggplant
1993,mustard
1994,onion
1995,clove
1996,garlic
1997,ginger
1998,cumin
1999,coriander
2000,garammasala
2001,mango
2002,salt
2003,mustardoil
2004,agar
2005,drymangopowder
2006,yam
2007,coconut
2008,mustard
2009,asafoetida
2010,coriander
2011,turmeric
2012,salt
2013,sambarpowder
2014,sunflower
2015,sunfloweroil
2016,rice
2017,tomato
2018,onion
2019,mint
2020,coriander
2021,cinnamon
2022,clove
2023,ghee
2024,salt
2025,ginger
2026,garlic
2027,fennel
2028,cumin
2029,cinnamon
2030,ginger
2031,turmeric
2032,coriander
2033,fennel
2034,corn
2035,pepper
2036,clove
2037,garlic
2038,cardamom
2039,mace
2040,jasmine
2041,rice
2042,coconut
2043,milk
2044,coconutmilk
2045,salt
2046,coconutoil
2047,onion
2048,capsicum
2049,beans
2050,clusterbean
2051,grass
2052,lemongrass
2053,lemon
2054,lemonjuice
2055,basil
2056,okra
2057,onion
2058,tomato
2059,ginger
2060,garlic
2061,cumin
2062,tea
2063,asafoetida
2064,salt
2065,cheese
2066,cottagecheese
2067,coriander
2068,mango
2069,turmeric
2070,beans
2071,clusterbean
2072,ginger
